0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
Using SQL with Python;Course;;;Show more options for Using SQL with Python;;;Save;;;1h 39m;;;Intermediate;;;Jul 2021;;;;;;LinkedIn;;By: Bill Weinman;;;
SQL Server Machine Learning Services: R;Course;Updated;;;Show more options for SQL Server Machine Learning Services: R;;;Save;;;;2h 20m;;;;Advanced;Updated 1 month ago;;;;;;LinkedIn;;;By: Adam Wilbert;
Introduction to SAP BI/BW;Course;;;Show more options for Introduction to SAP BI/BW;;;Save;;;1h 18m;;;Intermediate;;;May 2020;;;;;;LinkedIn;;By: Michael Management;;;
SQL for Non-Programmers;Course;Popular;;;Show more options for SQL for Non-Programmers;;;Save;;;;2h 50m;;;;Beginner;Jan 2024;;;;;;LinkedIn;;;By: Christina Stathopoulos;
Understand SQL: Explore the Power and Versatility of the SQL Database Language;Course;Popular;;;Show more options for Understand SQL: Explore the Power and Versatility of the SQL Database Language;;;Save;;;;27m;;;;Beginner;Sep 2022;;;;;;LinkedIn;;;By: Christina Stathopoulos;
DBeaver Essential Training;Course;Updated;Popular;;;Show more options for DBeaver Essential Training;;;Save;;;;;;3h 24m;;Intermediate;;Updated 1 month ago;;;;;;LinkedIn;;By: Adam Wilbert
ETL in Python and SQL;Course;Popular;;;Show more options for ETL in Python and SQL;;;Save;;;;1h 20m;;;;Intermediate;Mar 2024;;;;;;LinkedIn;;;By: Jennifer Ebe;
Learning SQL Server 2017;Course;Updated;;;Show more options for Learning SQL Server 2017;;;Save;;;;1h 29m;;;;Beginner;Updated 1 month ago;;;;;;LinkedIn;;;By: Adam Wilbert;
Learning SQL Programming;Course;Popular;;;Show more options for Learning SQL Programming;;;Save;;;;1h 48m;;;;Beginner;Updated Dec 2023;;;;;;LinkedIn;;;By: Scott Simpson;
SQL Practice: Basic Queries;Course;Popular;;;Show more options for SQL Practice: Basic Queries;;;Save;;;;17m;;;;Beginner;Sep 2023;;;;;;LinkedIn;;;By: David Gassner;
SAP BI/BW: Project Design and Implementation;Course;;;Show more options for SAP BI/BW: Project Design and Implementation;;;Save;;;3h 16m;;;Intermediate;;;May 2020;;;;;;LinkedIn;;By: Michael Management;;;
Finding New Career Paths with SQL;Course;;;Show more options for Finding New Career Paths with SQL;;;Save;;;43m;;;Beginner;;;Oct 2021;;;;;;LinkedIn;;By: Nikiya Simpson;;;
Top Five Things to Know in Advanced SQL;Course;;;Show more options for Top Five Things to Know in Advanced SQL;;;Save;;;1h 35m;;;Advanced;;;Aug 2023;;;;;;LinkedIn;;By: Kendall Ruber;;;
