0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Introduction to Microsoft Fabric by Microsoft Press;Course;Popular;;;Show more options for Introduction to Microsoft Fabric by Microsoft Press;;;Save;;;5h 44m;;;;Beginner;2 months ago;;;;;LinkedIn;;;By: Microsoft Press and Michiel Rozema;
Big Data Analytics with Hadoop and Apache Spark;Course;New;;;Show more options for Big Data Analytics with Hadoop and Apache Spark;;;Save;;;51m;;;;Intermediate;5 days ago;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Databricks Certified Data Engineer Associate Cert Prep: 3 Incremental Data Processing;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 3 Incremental Data Processing;;;Save;;;28m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Practice It: Python Data Structures;Course;;;Show more options for Practice It: Python Data Structures;;;Save;;;40m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Kaylee Kohfeldt;;;
ETL in Python and SQL;Course;Popular;;;Show more options for ETL in Python and SQL;;;Save;;;1h 20m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Jennifer Ebe;
AWS Certified Database – Specialty (DBS-C01) Cert Prep: 1 Introduction and Services;Course;;;Show more options for AWS Certified Database – Specialty (DBS-C01) Cert Prep: 1 Introduction and Services;;;Save;;;2h 18m;;Intermediate;;;Aug 2020;;;;;LinkedIn;;By: Tom Carpenter;;;
Programming Foundations: Algorithms;Course;Popular;;;Show more options for Programming Foundations: Algorithms;;;Save;;;1h 45m;;;;Beginner;Updated Apr 2024;;;;;LinkedIn;;;By: Joe Marini;
Databricks Certified Data Engineer Associate Cert Prep: 6 Data Access with Unity Catalog;Course;;;Show more options for Databricks Certified Data Engineer Associate Cert Prep: 6 Data Access with Unity Catalog;;;Save;;;18m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Noah Gift;;;
Data Science on Google Cloud Platform: Designing Data Warehouses;Course;;;Show more options for Data Science on Google Cloud Platform: Designing Data Warehouses;;;Save;;;1h;;Intermediate;;;Sep 2018;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Apache Kafka Essential Training: Getting Started;Course;;;Show more options for Apache Kafka Essential Training: Getting Started;;;Save;;;1h 12m;;Intermediate;;;Jun 2023;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Data Wrangling in Excel with Power Query;Course;;;Show more options for Data Wrangling in Excel with Power Query;;;Save;;;1h 32m;;Intermediate;;;Jul 2023;;;;;LinkedIn;;By: Jordan Goldmeier;;;
C#: Applied Data Structures;Course;;;Show more options for C#: Applied Data Structures;;;Save;;;1h 39m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Joe Marini;;;
Python Data Structures:  Trees;Course;;;Show more options for Python Data Structures:  Trees;;;Save;;;1h 16m;;Intermediate;;;Feb 2021;;;;;LinkedIn;;By: Ryan Mitchell;;;
