0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
.NET Essentials: LINQ for Databases;Course;;;Show more options for .NET Essentials: LINQ for Databases;;;Save;;;1h 15m;;Intermediate;;;Jan 2021;;;;;LinkedIn;;By: Walt Ritscher;;;
Program Databases with Transact-SQL;Course;;;Show more options for Program Databases with Transact-SQL;;;Save;;;2h 47m;;Intermediate;;;Updated Jan 2024;;;;;LinkedIn;;By: Adam Wilbert;;;
Introduction to Transact-SQL;Course;;;Show more options for Introduction to Transact-SQL;;;Save;;;1h 3m;;Beginner;;;Oct 2023;;;;;LinkedIn;;By: Jess Pomfret;;;
Advanced MongoDB: Efficient and Secure Data Management;Course;;;Show more options for Advanced MongoDB: Efficient and Secure Data Management;;;Save;;;1h 52m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Naomi Pentrel;;;
ChatGPT and SQL;Course;;;Show more options for ChatGPT and SQL;;;Save;;;1h 23m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: John Pauler and Maven Analytics;;;
Advanced SQL for Data Scientists;Course;;;Show more options for Advanced SQL for Data Scientists;;;Save;;;2h 30m;;Advanced;;;May 2021;;;;;LinkedIn;;By: Dan Sullivan;;;
MySQL for Data Engineering;Course;;;Show more options for MySQL for Data Engineering;;;Save;;;32m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Noah Gift;;;
Level Up: MySQL;Course;;;Show more options for Level Up: MySQL;;;Save;;;1h 3m;;Intermediate;;;Jul 2023;;;;;LinkedIn;;By: Brad Wheeler;;;
Understand SQL: Explore the Power and Versatility of the SQL Database Language;Course;Popular;;;Show more options for Understand SQL: Explore the Power and Versatility of the SQL Database Language;;;Save;;;27m;;;;Beginner;Sep 2022;;;;;LinkedIn;;;By: Christina Stathopoulos;
SQL for Statistics Essential Training;Course;;;Show more options for SQL for Statistics Essential Training;;;Save;;;49m;;Intermediate;;;Mar 2018;;;;;LinkedIn;;By: Dan Sullivan;;;
Finding New Career Paths with SQL;Course;;;Show more options for Finding New Career Paths with SQL;;;Save;;;43m;;Beginner;;;Oct 2021;;;;;LinkedIn;;By: Nikiya Simpson;;;
Unity: Working with Google Firebase;Course;;;Show more options for Unity: Working with Google Firebase;;;Save;;;1h 31m;;Intermediate;;;Jul 2017;;;;;LinkedIn;;By: Harrison Ferrone;;;
Advanced SQL for Query Tuning and Performance Optimization;Course;Popular;;;Show more options for Advanced SQL for Query Tuning and Performance Optimization;;;Save;;;2h 9m;;;;Advanced;Oct 2023;;;;;LinkedIn;;;By: Dan Sullivan;
Introduction to Spark SQL and DataFrames;Course;;;Show more options for Introduction to Spark SQL and DataFrames;;;Save;;;1h 54m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Dan Sullivan;;;
Quick Start Guide to SQL;Course;Updated;Popular;;;Show more options for Quick Start Guide to SQL;;;Save;;;;;1h 28m;;Beginner;Updated 1 week ago;;;;;;LinkedIn;;By: Deepa Maddala
Introduction to SQL Using Google BigQuery;Course;;;Show more options for Introduction to SQL Using Google BigQuery;;;Save;;;3h 20m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Danny Ma;;;
Everybody's Introduction to Snowflake;Course;;;"Show more options for Everybody&amp;#39;s Introduction to Snowflake";;;Save;;;1h 38m;;Beginner;;;Sep 2023;;;;;LinkedIn;;By: Tim Ngwena;;;
ETL and ELT in PostgreSQL;Course;;;Show more options for ETL and ELT in PostgreSQL;;;Save;;;38m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: Sarah Conway Schnurr;;;
SQL for Testers;Course;Popular;;;Show more options for SQL for Testers;;;Save;;;1h 33m;;;;Beginner;Updated Feb 2024;;;;;LinkedIn;;;By: Dave Westerveld;
Advanced SQL: Solving Interpolation Challenges;Course;Updated;;;Show more options for Advanced SQL: Solving Interpolation Challenges;;;Save;;;1h 26m;;;;Advanced;Updated 2 weeks ago;;;;;LinkedIn;;;By: Ami Levin;
Learning Teradata Vantage;Course;;;Show more options for Learning Teradata Vantage;;;Save;;;2h 3m;;Advanced;;;Aug 2022;;;;;LinkedIn;;By: Kishan Iyer;;;
Graph Databases: Neo4j for Complex Data Relationships;Course;;;Show more options for Graph Databases: Neo4j for Complex Data Relationships;;;Save;;;1h 18m;;Intermediate;;;Sep 2022;;;;;LinkedIn;;By: Andreas Kretz;;;
PostgreSQL Backup and Restore with pgBackRest;Course;;;Show more options for PostgreSQL Backup and Restore with pgBackRest;;;Save;;;2h 9m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Sonia Valeja;;;
Redis + AI: Building a Vector Database with Redis;Course;;;Show more options for Redis + AI: Building a Vector Database with Redis;;;Save;;;2h 32m;;Intermediate;;;2 months ago;;;;;LinkedIn;;By: Fernando Doglio;;;
Hands-On Data Science using SQL, Tableau, Python, and Spark;Course;Popular;;;Show more options for Hands-On Data Science using SQL, Tableau, Python, and Spark;;;Save;;;1h 13m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Ben Sullins and Free the Data Academy;
Microsoft Copilot for Azure SQL Database;Course;Popular;;;Show more options for Microsoft Copilot for Azure SQL Database;;;Save;;;22m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Scott Simpson;
Introduction to AI-Native Vector Databases;Course;;;Show more options for Introduction to AI-Native Vector Databases;;;Save;;;2h 47m;;Intermediate;;;Dec 2023;;;;;LinkedIn;;By: Zain Hasan;;;
Oracle Database 12c: Advanced SQL;Course;;;Show more options for Oracle Database 12c: Advanced SQL;;;Save;;;2h 36m;;Intermediate;;;Mar 2018;;;;;LinkedIn;;By: David Yahalom;;;
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG);Course;;;Show more options for LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG);;;Save;;;1h 33m;;Advanced;;;Feb 2024;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Advanced SQL: Logical Query Processing, Part 2;Course;;;Show more options for Advanced SQL: Logical Query Processing, Part 2;;;Save;;;2h 2m;;Advanced;;;Sep 2020;;;;;LinkedIn;;By: Ami Levin;;;
Oracle Database 19c: Advanced SQL;Course;;;Show more options for Oracle Database 19c: Advanced SQL;;;Save;;;2h 3m;;Advanced;;;Updated Feb 2024;;;;;LinkedIn;;By: Bob Bryla;;;
Choose the Right Tool for Your Data: Python, R, or SQL;Course;;;Show more options for Choose the Right Tool for Your Data: Python, R, or SQL;;;Save;;;1h 7m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: Megan Lieu;;;
SQL for Non-Programmers;Course;Popular;;;Show more options for SQL for Non-Programmers;;;Save;;;2h 50m;;;;Beginner;Jan 2024;;;;;LinkedIn;;;By: Christina Stathopoulos;
Practice It: Advanced SQL;Course;;;Show more options for Practice It: Advanced SQL;;;Save;;;27m;;Advanced;;;Mar 2024;;;;;LinkedIn;;By: Kedeisha Bryan;;;
Practice It: SQL Joins;Course;;;Show more options for Practice It: SQL Joins;;;Save;;;56m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Nikiya Simpson;;;
Explore a Career in SQL Development;Learning Path;;;Show more options for Explore a Career in SQL Development;;;Save;;;14h;;;Updated 1 week ago;;;;;LinkedIn;;;;;;;
Advanced SQL for Data Science: Time Series;Course;Popular;;;Show more options for Advanced SQL for Data Science: Time Series;;;Save;;;1h 20m;;;;Advanced;Updated Mar 2024;;;;;LinkedIn;;;By: Dan Sullivan;
Claris Pro Essential Training;Course;;;Show more options for Claris Pro Essential Training;;;Save;;;6h 41m;;General;;;Apr 2023;;;;;LinkedIn;;By: Cris Ippolite;;;
MySQL Data Analysis;Course;New;;;Show more options for MySQL Data Analysis;;;Save;;;4h 30m;;;;Beginner;3 days ago;;;;;LinkedIn;;;By: John Pauler and Maven Analytics;
Advanced  SQL – Window Functions;Course;Updated;Popular;;;Show more options for Advanced  SQL – Window Functions;;;Save;;;;;2h 6m;;Advanced;Updated 2 weeks ago;;;;;;LinkedIn;;By: Ami Levin
MongoDB Aggregation Pipeline: Advanced Data Analysis and Manipulation;Course;;;Show more options for MongoDB Aggregation Pipeline: Advanced Data Analysis and Manipulation;;;Save;;;1h 17m;;Advanced;;;Jan 2023;;;;;LinkedIn;;By: Ado Kukic;;;
Advanced SQL: High Performance Relational Divisions;Course;Updated;;;Show more options for Advanced SQL: High Performance Relational Divisions;;;Save;;;1h 45m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Ami Levin;
Using SQL with Python;Course;;;Show more options for Using SQL with Python;;;Save;;;1h 39m;;Intermediate;;;Jul 2021;;;;;LinkedIn;;By: Bill Weinman;;;
Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 1 Design and Implement Data Models by Microsoft Press;Course;Updated;;;Show more options for Microsoft Azure Cosmos DB Developer Specialty (DP-420) Cert Prep: 1 Design and Implement Data Models by Microsoft Press;;;Save;;;4h 28m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Microsoft Press and Tim Warner;
Data Engineering Foundations Professional Certificate by Astronomer;Professional Certificate;;;Show more options for Data Engineering Foundations Professional Certificate by Astronomer;;;Save;;;11h;;;Updated 1 month ago;;;;;;Provided by Astronomer and LinkedIn;;;;;;
Top Five Things to Know in Advanced SQL;Course;;;Show more options for Top Five Things to Know in Advanced SQL;;;Save;;;1h 35m;;Advanced;;;Aug 2023;;;;;LinkedIn;;By: Kendall Ruber;;;
Designing Database Solutions for SQL Server 2016;Course;;;Show more options for Designing Database Solutions for SQL Server 2016;;;Save;;;3h 14m;;Advanced;;;Feb 2017;;;;;LinkedIn;;By: Adam Wilbert;;;
