0;1;2;3;4;5
Machine-Learning;Machine Learning and AI Foundations: Clustering and Association;2018-05-16;39555;Learn how to use cluster analysis, association rules, and anomaly detection algorithms for unsupervised learning.;['Machine Learning', 'Artificial Intelligence (AI)']
Machine-Learning;Machine Learning with Python: Foundations;2021-10-06;154461;Learn the basics of machine learning and how you can create a machine learning model with Python.;['Machine Learning', 'Python (Programming Language)']
Machine-Learning;Google Cloud Professional Machine Learning Engineer Cert Prep: 1 Framing ML Problems;2023-06-08;3288;Learn about the Google Professional Machine Learning Engineer certification exam, and topics relating to the first part of the exam, framing ML problems.;['Google Cloud Platform (GCP)', 'Machine Learning']
Machine-Learning;MLOps Tools: MLflow and Hugging Face;2024-09-25;0;Master MLflow and Hugging Face, two powerful open-source platforms for MLOps;['MLOps', 'MLflow', 'Machine Learning']
Machine-Learning;Machine Learning with Python: Association Rules;2022-11-09;4335;Explore the unsupervised machine learning approach known as association rules, as well as a step-by-step guide on how to use the approach for market basket analysis in Python.;['Machine Learning', 'Python (Programming Language)']
Machine-Learning;Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;2023-06-09;1789;Learn about topics relating to designing data preparation and processing systems in preparation for the Google Professional Machine Learning Engineer certification exam.;['Data Processing', 'Google Cloud Platform (GCP)', 'Data Preparation', 'Machine Learning']
Machine-Learning;Deep Learning: Model Optimization and Tuning;2022-02-01;17136;Learn about various optimization and tuning options available for deep learning models and use them to improve models.;['Deep Learning', 'Machine Learning']
Machine-Learning;AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 4 Machine Learning Implementation and Operations;2023-03-01;2261;Go over machine learning implementation and operations to prepare for the AWS Certified Machine Learning – Specialty (MLS-C01) certification.;['MLOps', 'Machine Learning', 'Amazon Web Services (AWS)']
Machine-Learning;Essentials of MLOps with Azure: 1 Introduction;2022-09-08;4747;Learn about the foundations of MLOps, plus how to use Spark for MLOps and some basic things you should know to be successful in using it.;['MLOps', 'Microsoft Azure']
Machine-Learning;Recommendation Systems: A Practical Introduction;2024-01-30;1074;This course presents a practical introduction to recommender systems for data scientists, machine learning engineers, data engineers, software engineers, and data analysts.;['Recommender Systems']
Machine-Learning;Advanced Python in Excel: Machine Learning;2024-09-12;0;Bridge the gap between Python's advanced data processing capabilities and Excel's widespread use, to leverage machine learning for enhanced data analysis and decision-making.;['Machine Learning', 'Microsoft Excel', 'Python (Programming Language)']
Machine-Learning;Machine Learning in Mobile Applications;2024-07-25;3511;Explore scenarios for using machine learning within mobile development.;['Mobile Application Development', 'Machine Learning']
Machine-Learning;Azure Machine Learning Development: Part 1;2022-08-22;13093;Get an introduction to the concepts and mechanics of machine learning with Azure.;['Microsoft Azure Machine Learning']
Machine-Learning;Reinforcement Learning Foundations;2021-01-22;23376;Learn the basics of reinforcement learning (RL), including the terminology, the kinds of problems you can solve with RL, and the different methods for solving those problems.;['Machine Learning', 'Reinforcement Learning']
Machine-Learning;Python for Data Science and Machine Learning Essential Training Part 2;2024-07-30;2296;In the second half of this two-part course, explore the essentials of using Python for data science and machine learning.;['Data Science', 'Machine Learning', 'Python (Programming Language)']
Machine-Learning;Top 10 Skills for Machine Learning Cloud Architects;2023-08-28;1346;Learn the top ten skills of machine learning cloud architects to build out your professional toolbox and boost your career.;['Cloud-Native Architecture', 'Machine Learning']
